,Year Manufactured,Engine Capacity,Warranty,Mileage,Price
385,2015,2.0,0,84999.0,118800
387,2016,2.0,0,119999.0,62000
388,2018,2.0,5,39999.0,158000
389,2019,2.0,5,49999.0,168000
391,2019,2.0,5,34999.0,170000
392,2017,2.0,0,94999.0,118800
397,1997,1.5,0,79999.0,20000
398,2012,2.0,1,109999.0,50800
399,2023,8.8,0,4999.0,101600
400,2017,2.0,0,139999.0,268800
401,2023,5.2,0,84999.0,97800
402,2007,4.6,0,79999.0,52000
403,2017,2.3,0,54999.0,198800
404,2018,2.5,5,34999.0,195888
405,2019,2.5,5,29999.0,184888
406,2018,2.5,5,24999.0,175888
407,2012,2.0,0,84999.0,24800
408,2013,3.0,0,9999.0,389000
409,2010,1.8,1,129999.0,22800
410,2018,3.5,0,54999.0,248800
411,2015,1.6,0,119999.0,106800
412,2012,3.5,0,89999.0,118800
414,2021,2.0,1,19999.0,228000
415,2019,2.1,1,29999.0,338888
416,2020,3.5,1,14999.0,418888
418,2004,2.8,0,74999.0,36800
420,2014,2.5,1,109999.0,51800
422,2018,2.0,1,14999.0,273888
423,2010,2.5,0,84999.0,80000
424,2023,5.0,0,84999.0,113800
426,2000,2.5,0,79999.0,16000
427,2009,3.0,0,139999.0,33800
428,2007,3.0,0,79999.0,25800
429,2001,2.8,0,84999.0,21800
430,2004,2.8,0,79999.0,16800
431,2016,2.0,1,74999.0,65800
432,2022,2.0,1,14999.0,388800
433,2021,3.0,1,24999.0,708888
434,2017,2.0,3,44999.0,220000
435,2020,2.5,5,19999.0,278000
436,2018,2.0,M,4999.0,141000
437,2018,2.0,M,4999.0,143000
438,2018,2.0,M,4999.0,151000
439,2023,4.3,0,79999.0,96800
440,2013,1.6,0,69999.0,22800
441,2017,2.0,1,34999.0,168888
442,2015,1.6,1,109999.0,27800
444,2018,1.3,1,24999.0,198888
445,2018,2.0,1,44999.0,308888
446,2011,5.0,0,64999.0,55000
447,1991,2.5,0,69999.0,16800
448,2017,2.0,3,29999.0,168000
449,2023,6.9,0,4999.0,83600
450,2023,4.7,0,4999.0,83600
451,2020,2.0,1,39999.0,438000
452,2020,2.0,1,4999.0,428000
453,2021,3.0,1,14999.0,728000
454,2015,1.6,1,94999.0,26800
455,2023,3.0,0,89999.0,79800
456,2001,2.8,0,79999.0,26800
457,2011,2.5,0,109999.0,23800
458,2018,2.0,0,69999.0,155800
459,1997,3.0,0,84999.0,15000
460,2006,3.7,0,84999.0,21000
461,2007,3.9,0,79999.0,26500
462,2018,2.0,1,19999.0,208888
463,2020,2.5,5,19999.0,213888
464,2021,3.6,1,9999.0,458888
465,2016,1.6,1,64999.0,29800
466,2020,3.0,1,34999.0,520888
467,2023,5.0,0,79999.0,10200
468,2023,5.0,0,79999.0,96800
469,2015,2.0,0,74999.0,46800
470,2009,4.0,0,84999.0,63800
471,2020,4.0,1,19999.0,1698888
472,2007,2.8,0,79999.0,31800
473,2023,4.0,0,79999.0,96800
474,2018,2.5,5,39999.0,223888
475,2021,2.5,5,24999.0,269888
476,2013,1.5,1,94999.0,28800
477,2018,2.5,5,19999.0,218000
478,2019,2.0,5,34999.0,158000
479,2019,2.0,5,74999.0,155000
480,2020,2.5,5,34999.0,260000
481,2014,2.5,0,139999.0,69800
482,2011,2.0,0,94999.0,45500
483,2018,2.5,5,34999.0,228000
484,2001,2.8,0,84999.0,15000
486,2019,2.0,5,39999.0,175888
487,2015,1.0,1,74999.0,25800
488,2020,1.2,1,24999.0,139888
489,2018,2.5,1,39999.0,183888
490,2019,2.5,5,29999.0,189888
491,1994,2.8,0,79999.0,11000
492,2020,2.5,5,19999.0,206888
493,2021,2.5,5,14999.0,272888
494,2002,3.0,0,84999.0,35300
495,1997,3.0,0,79999.0,15000
496,2009,3.0,0,84999.0,19800
497,1986,3.0,0,64999.0,29800
498,2016,2.0,1,64999.0,45800
499,2023,3.0,0,84999.0,91800
500,2010,1.4,0,79999.0,9800
501,2013,2.5,0,99999.0,41800
502,1996,1.4,0,84999.0,19800
504,2016,3.9,0,24999.0,1128800
505,2008,1.3,0,129999.0,8800
506,2019,2.0,1,19999.0,164888
507,2021,2.5,5,9999.0,288888
508,2020,2.5,5,19999.0,259888
509,2011,1.0,1,74999.0,12800
510,2017,2.0,0,74999.0,149800
512,2010,1.3,0,109999.0,17800
513,2008,2.8,0,94999.0,33000
514,2013,3.7,0,79999.0,59800
515,2014,1.4,0,149999.0,40800
516,2003,2.8,0,84999.0,33800
517,2013,2.5,0,109999.0,37800
519,2022,1.2,5,14999.0,110000
520,2012,2.0,1,109999.0,61800
521,2016,2.0,0,94999.0,169800
522,2016,1.5,0,64999.0,55000
523,2015,5.0,0,299999.0,58500
524,1996,3.0,0,84999.0,13800
525,2015,2.0,0,84999.0,126800
526,2015,1.5,0,99999.0,46800
527,2010,1.5,0,119999.0,18000
528,2009,1.5,0,129999.0,23800
529,2011,1.6,0,94999.0,16800
530,2011,4.0,0,44999.0,58500
531,2012,1.4,1,84999.0,49800
532,2009,2.5,0,94999.0,15800
533,2023,1.8,0,4999.0,50000
534,2001,6.8,0,84999.0,39800
535,2009,4.6,0,79999.0,61800
536,2010,4.3,0,89999.0,63800
537,2006,1.4,0,79999.0,17800
538,2001,2.8,0,94999.0,29800
539,2004,1.5,0,84999.0,18800
540,1996,2.5,0,74999.0,16800
541,2015,2.5,0,89999.0,169800
542,2012,1.8,0,84999.0,40800
543,2023,4.3,0,84999.0,96800
544,2006,13.0,0,79999.0,32000
545,1992,2.8,0,84999.0,22800
546,1996,1.4,0,79999.0,26500
547,2003,2.8,0,84999.0,21800
548,1996,2.4,0,79999.0,18800
549,2009,2.4,0,84999.0,33800
550,2008,3.0,0,84999.0,39800
551,2008,2.8,0,94999.0,31800
552,1992,3.6,0,79999.0,26800
553,2015,1.3,0,39999.0,13800
554,2015,1.6,0,74999.0,105800
555,1986,2.8,0,84999.0,29800
556,2015,4.3,0,74999.0,35800
557,2009,4.6,0,79999.0,61300
558,1995,2.8,0,74999.0,11000
559,2009,4.0,0,79999.0,39800
560,2015,2.0,0,84999.0,163800
561,2018,2.0,0,94999.0,148800
564,2003,2.8,0,74999.0,28500
565,2016,1.0,0,139999.0,23800
566,2008,1.5,0,79999.0,16800
567,2009,4.0,0,74999.0,42800
568,2011,4.0,0,94999.0,61800
569,2017,4.0,0,84999.0,68000
570,2001,3.0,0,84999.0,25800
571,1995,2.8,0,79999.0,15300
572,1994,2.8,0,79999.0,15500
573,2017,2.0,0,84999.0,99800
574,2023,4.0,0,89999.0,96800
575,2023,5.2,0,84999.0,89800
576,2017,2.0,0,99999.0,188800
577,2023,4.6,0,79999.0,85800
578,2023,3.0,0,84999.0,75000
579,2023,3.0,0,84999.0,83000
580,2023,3.0,0,79999.0,89500
581,2023,3.0,0,79999.0,81500
582,2023,3.0,0,84999.0,67800
583,2023,4.7,0,79999.0,95000
584,2023,3.0,0,84999.0,83000
585,2023,3.0,0,79999.0,75300
586,2002,3.0,0,79999.0,41500
587,2014,4.0,0,44999.0,415000
588,1990,2.5,0,79999.0,19800
589,2007,2.8,0,79999.0,29800
590,2003,3.6,0,74999.0,39800
591,1996,2.8,0,84999.0,21800
592,2017,2.0,0,94999.0,175800
593,2018,1.6,0,74999.0,158800
594,2011,2.0,0,94999.0,38800
595,2023,6.4,0,4999.0,150000
596,2017,2.0,0,74999.0,155800
